Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare
Anna Nagar Tower,Nandanam,31Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount: Saidapet: Nandanam:,13,1,45
Anna Nagar Tower,Nanganallur Road,22Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Nanganallur Road:,10,1,40
Anna Nagar Tower,Nehru Park,10Min,@Green: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park:,6,0,25
Anna Nagar Tower,Pachaiyappas College,6Min,@Green: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College:,4,0,15
Anna Nagar Tower,Saidapet,28Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount: Saidapet:,12,1,45
Anna Nagar Tower,Shenoy Nagar,4Min,@Green: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar:,3,0,15
Anna Nagar Tower,St Thomas Mount,22Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur: St Thomas Mount:,10,0,40
Anna Nagar Tower,Teynampet,33Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount: Saidapet: Nandanam: Teynampet:,14,1,50
Anna Nagar Tower,Thirumangalam,2Min,@Green: Anna Nagar Tower: Thirumangalam:,2,0,10
Anna Nagar Tower,Vadapalani,11Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani:,6,0,30
Arumbakkam,AG-DMS,26Min,@Green: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount: Saidapet: Nandanam: Teynampet: AG-DMS:,11,1,45
Arumbakkam,Airport,20Min,@Green: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Nanganallur Road: Meenambakkam: Airport:,8,1,40
Arumbakkam,Alandur,10Min,@Green: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:,5,0,30
Arumbakkam,Anna Nagar East,11Min,@Green: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East:,6,0,30
Arumbakkam,Anna Nagar Tower,9Min,@Green: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower:,5,0,25
Arumbakkam,Ashok Nagar,5Min,@Green: Arumbakkam: Vadapalani: Ashok Nagar:,3,0,15
Arumbakkam,Chennai Central,25Min,@Green: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park: Egmore: Chennai Central:,12,0,40
Arumbakkam,CMBT,2Min,@Green: Arumbakkam: CMBT:,2,0,10
Arumbakkam,Egmore,22Min,@Green: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park: Egmore:,11,0,40
